Response ID,age,lang,Question ID,Answer,kz,cn,no_emoji,age_category
0,21,0,smile_kz1,0,1,0,0,1
1,19,0,smile_kz1,1,1,0,0,1
2,23,0,smile_kz1,0,1,0,0,1
3,22,0,smile_kz1,0,1,0,0,1
4,22,0,smile_kz1,0,1,0,0,1
5,18,0,smile_kz1,0,1,0,0,1
6,22,0,smile_kz1,0,1,0,0,1
7,21,0,smile_kz1,0,1,0,0,1
8,22,0,smile_kz1,0,1,0,0,1
9,23,0,smile_kz1,1,1,0,0,1
10,19,0,smile_kz1,1,1,0,0,1
11,22,0,smile_kz1,1,1,0,0,1
12,23,0,smile_kz1,1,1,0,0,1
13,18,0,smile_kz1,1,1,0,0,1
14,18,0,smile_kz1,1,1,0,0,1
15,23,0,smile_kz1,1,1,0,0,1
16,22,0,smile_kz1,0,1,0,0,1
17,20,0,smile_kz1,1,1,0,0,1
18,21,0,smile_kz1,1,1,0,0,1
20,22,0,smile_kz1,1,1,0,0,1
21,22,0,smile_kz1,1,1,0,0,1
22,23,0,smile_kz1,1,1,0,0,1
23,22,0,smile_kz1,1,1,0,0,1
24,22,0,smile_kz1,1,1,0,0,1
25,19,0,smile_kz1,1,1,0,0,1
26,22,0,smile_kz1,1,1,0,0,1
27,18,0,smile_kz1,1,1,0,0,1
28,18,0,smile_kz1,1,1,0,0,1
29,18,0,smile_kz1,1,1,0,0,1
30,18,0,smile_kz1,1,1,0,0,1
31,24,0,smile_kz1,0,1,0,0,1
0,21,0,smile_kz2,0,1,0,0,1
1,19,0,smile_kz2,1,1,0,0,1
2,23,0,smile_kz2,1,1,0,0,1
3,22,0,smile_kz2,1,1,0,0,1
4,22,0,smile_kz2,1,1,0,0,1
5,18,0,smile_kz2,0,1,0,0,1
6,22,0,smile_kz2,1,1,0,0,1
7,21,0,smile_kz2,1,1,0,0,1
8,22,0,smile_kz2,1,1,0,0,1
9,23,0,smile_kz2,1,1,0,0,1
10,19,0,smile_kz2,0,1,0,0,1
11,22,0,smile_kz2,0,1,0,0,1
12,23,0,smile_kz2,0,1,0,0,1
13,18,0,smile_kz2,0,1,0,0,1
14,18,0,smile_kz2,0,1,0,0,1
15,23,0,smile_kz2,1,1,0,0,1
16,22,0,smile_kz2,1,1,0,0,1
17,20,0,smile_kz2,1,1,0,0,1
18,21,0,smile_kz2,0,1,0,0,1
20,22,0,smile_kz2,1,1,0,0,1
21,22,0,smile_kz2,1,1,0,0,1
22,23,0,smile_kz2,0,1,0,0,1
23,22,0,smile_kz2,1,1,0,0,1
24,22,0,smile_kz2,0,1,0,0,1
25,19,0,smile_kz2,0,1,0,0,1
26,22,0,smile_kz2,1,1,0,0,1
27,18,0,smile_kz2,0,1,0,0,1
28,18,0,smile_kz2,0,1,0,0,1
29,18,0,smile_kz2,0,1,0,0,1
30,18,0,smile_kz2,0,1,0,0,1
31,24,0,smile_kz2,1,1,0,0,1
0,21,0,Laugh_kz1,1,1,0,0,1
1,19,0,Laugh_kz1,1,1,0,0,1
2,23,0,Laugh_kz1,0,1,0,0,1
3,22,0,Laugh_kz1,1,1,0,0,1
4,22,0,Laugh_kz1,1,1,0,0,1
5,18,0,Laugh_kz1,0,1,0,0,1
6,22,0,Laugh_kz1,1,1,0,0,1
7,21,0,Laugh_kz1,0,1,0,0,1
8,22,0,Laugh_kz1,0,1,0,0,1
9,23,0,Laugh_kz1,1,1,0,0,1
10,19,0,Laugh_kz1,1,1,0,0,1
11,22,0,Laugh_kz1,0,1,0,0,1
12,23,0,Laugh_kz1,0,1,0,0,1
13,18,0,Laugh_kz1,0,1,0,0,1
14,18,0,Laugh_kz1,1,1,0,0,1
15,23,0,Laugh_kz1,1,1,0,0,1
